Brazil_ydata;Brazil_fitted;Spain_ydata;Spain_fitted;Germany_ydata;Germany_fitted
1021.0;1021.0;1073.0;1073.0;1040;1040.0
1546.0;1356.6783882788436;1695.0;1509.8481201798731;1176;1408.4682597171368
1924.0;1759.0464431395806;2277.0;2124.4349320011565;1457;1865.2171172204496
2247.0;2209.527043210369;2277.0;2988.9643041990957;1908;2397.941430643271
2554.0;2667.222441010321;5232.0;4204.86219111596;2078;2967.6813385030996
2985.0;3069.293738668415;6391.0;5914.496011213163;3675;3503.9663148682475
3417.0;3343.2341777574425;7798.0;8317.48867075308;4585;3913.727712123583
3904.0;3904.0;9942.0;9942.0;5795;5795.0
4256.0;4488.11201493642;11748.0;12054.149547303232;7272;7568.894235332773
4579.0;5159.618275997501;13910.0;14552.785801285387;9257;9776.153841804538
5717.0;5931.594488047863;17963.0;17478.984487914102;12327;12446.452255533577
6836.0;6819.07293909069;20410.0;20863.79629210254;15320;15557.926996415681
8044.0;7839.335085810665;25374.0;24720.17941910678;19848;19005.81580880095
9056.0;9012.247393097683;28768.0;29032.85524260413;22213;22574.990675475645
10360.0;10360.0;35136.0;35136.0;24873;24873.0
11130.0;11536.07127899294;39885.0;41920.9931982109;29056;28662.398503604818
12161.0;12845.650757325424;49515.0;49397.825173891295;32986;33019.585728233134
14034.0;14303.894165521082;57786.0;57358.479652661714;37323;38026.49980422588
16170.0;15927.677948608809;65719.0;65470.307648654685;43938;43775.868579151174
18092.0;17735.79430008038;73235.0;73275.4943042421;50871;50372.2850061548
19638.0;19749.169011287613;80110.0;80218.78312421442;57695;57933.2667475851
20727.0;20727.0;87956.0;87956.0;62095;62095.0
22192.0;22400.803820117544;95923.0;96073.61617857237;66885;67201.18689218833
23430.0;24209.775179568413;104118.0;104144.40997181875;71808;72591.54801727278
25262.0;26164.829614088914;112065.0;111969.2107178738;77872;78256.03105216594
28320.0;28277.763487311942;119199.0;119327.82239089314;84794;84178.75381302928
30425.0;30561.32663203764;126168.0;125989.49598298047;91159;90337.26447488884
33682.0;33029.2980513763;131646.0;131726.34850508193;96092;96701.85310584318
36658.0;36658.0;136675.0;136675.0;100123;100123.0
38654.0;38975.38307034785;141942.0;142457.60105339094;103374;104434.25582486056
40743.0;41439.260784183054;148220.0;148024.89068123035;107663;108751.58196913963
43079.0;44058.893594030495;153222.0;153316.27627716778;113296;113053.27895219844
45757.0;46844.127563090085;158273.0;158270.89679399572;118181;117316.05346898806
50036.0;49805.42993602894;163027.0;162828.97062814803;122171;121515.18704799077
54043.0;52953.931405105955;166831.0;166933.2252510903;124908;125624.75093804293
59324.0;59324.0;170099.0;170099.0;127854;127854.0
63100.0;63876.63837438199;172541.0;174537.21536596116;130072;130292.47120146641
67446.0;68778.65522317293;177644.0;179090.7532399048;131359;132777.44475801598
73235.0;74056.86277196411;184948.0;183762.58221015838;134753;135309.80653975662
79685.0;79740.12981359131;190839.0;188555.7483687765;137698;137890.4599750982
87187.0;85859.54177759413;191726.0;193473.37546821826;141397;140520.3258897941
92202.0;92448.5693963496;198674.0;198518.66573566746;143342;143200.34252130715
97100.0;97100.0;200210.0;200210.0;145184;145184.0
101826.0;103795.52874568728;204178.0;204148.02708513202;147065;147042.8479654572
108620.0;110952.74330997205;208389.0;206897.3486043179;148291;148925.31101711825
115455.0;118603.47842996551;213024.0;208397.94381561442;150648;150831.68466585147
126611.0;126781.7629352329;202990.0;208619.8405708457;153129;152762.26772186527
135773.0;135523.9728576436;205905.0;207564.40054743548;154999;154717.36259706863
146894.0;144868.9924540285;207634.0;205263.9797887466;156513;156697.27535780327
156061.0;156061.0;209465.0;209465.0;157770;157770.0
162699.0;164590.97124789582;210773.0;211001.37975940606;158758;159009.79019678364
169594.0;173587.17348230124;212917.0;212465.1747896091;159912;160246.6837182518
178214.0;183075.08979219006;213435.0;213854.25209977364;161539;161480.36800330697
190137.0;193081.59608360098;215216.0;215166.57636340414;163009;162710.52715007443
203165.0;203635.03691955836;216582.0;216400.21627373906;164077;163936.8419472923
220291.0;214765.3072642374;217466.0;217553.3504117241;164967;165158.98999406846
233511.0;233511.0;218011.0;218011.0;165664;165664.0
241080.0;246991.86122827968;219329.0;219994.71546210637;166152;166581.08391107962
255368.0;261250.98709469134;220325.0;221535.66568380134;167007;167503.23938178888
271885.0;276333.3087415708;221447.0;222622.56758762928;168162;168430.49176478139
291579.0;292286.35019078024;222857.0;223247.86137236893;169430;169362.87023899535
310087.0;309160.3790740883;223578.0;223407.8244207213;170588;170300.40661393764
330890.0;327008.5650558015;224350.0;223102.61703847244;171324;171243.1277705459
347398.0;347398.0;227436.0;227436.0;171879;171879.0
363211.0;363729.13203497627;228030.0;230181.3023569435;172576;172589.8431002246
374898.0;380827.9868398118;228691.0;231827.48924604335;173171;173276.2904759279
391222.0;398730.6558739559;229540.0;232348.21262933375;174098;173937.93475508253
411821.0;417474.92625492037;230183.0;231738.98176740305;174478;174574.3818863702
438238.0;437100.36149207444;230698.0;230017.1702399628;175233;175185.2515663958
465166.0;457648.38499073003;230698.0;227221.13678719898;175752;175770.17772410752
498440.0;498440.0;231606.0;231606.0;176369;176369.0
514849.0;519324.02207195974;232037.0;232299.68148931427;176551;177058.8252256592
526447.0;541083.0518024474;232555.0;232992.26078963888;177778;177723.65465160657
555383.0;563753.7510929663;233037.0;233683.7070769834;178473;178363.09859496244
584016.0;587374.3169078473;234824.0;234373.98936856526;179021;178976.78112072276
614941.0;611984.5465909534;235290.0;235063.07658625356;179710;179564.34044548482
645771.0;637625.9050507378;235772.0;235750.9375620607;179986;180125.42939332675
672846.0;672846.0;235400.0;235400.0;180328;180328.0
691758.0;696240.7856938603;236259.0;236371.1419141623;180600;180800.5686195468
707412.0;720449.0007050298;236259.0;237218.10392652274;181200;181274.36351959815
739503.0;745498.9283968852;237906.0;237939.27987901127;181524;181749.3893853029
772416.0;771419.834582513;238564.0;238533.33058760327;182196;182225.64746716165
802828.0;798242.0025948314;239228.0;238999.18932933788;182922;182703.1418004388
828810.0;825996.768923437;239479.0;239336.06600709422;183189;183181.87547393938
850514.0;850514.0;239638.0;239638.0;183410;183410.0
867624.0;876128.7579550167;239932.0;239987.09255717235;183594;183709.55788875994
888271.0;902514.9491835948;240326.0;240325.7333156949;183879;184009.46156514302
923189.0;929695.8077024774;240660.0;240653.86650869355;184121;184309.71089056603
955377.0;957695.266337063;240978.0;240971.438192599;184472;184610.30571452907
978142.0;986537.9786708058;241310.0;241278.3962642768;184924;184911.2458861373
1032913.0;1016249.3408591409;241550.0;241574.69047917213;185450;185212.53125360986
1067579.0;1067579.0;241717.0;241717.0;185750;185750.0
1083341.0;1097458.3356119874;241966.0;242079.12737246352;186109;186060.28926700825
1106470.0;1128173.89238365;242280.0;242441.64715125426;186506;186348.97251115637
1145906.0;1159749.0719859956;242707.0;242804.55924025195;186522;186615.92468713413
1188631.0;1192207.9299788664;243209.0;243167.86354192795;186691;186861.03087315636
1228114.0;1225575.1949429552;243605.0;243531.55995650834;187226;187084.18635318172
1274974.0;1259876.287434357;243928.0;243895.64838191075;187267;187285.29671311934
1313667.0;1313667.0;244109.0;244109.0;187518;187518.0
1344143.0;1347344.8419426987;244328.0;244468.81021158464;187682;188030.9503087704
1368195.0;1381886.064597097;244683.0;244829.1410704361;188252;188545.2620129902
1402041.0;1417312.8029227657;245268.0;245189.99327701633;188604;189060.93846966742
1448753.0;1453647.7584057439;245575.0;245551.36758919564;189817;189577.9831380674
1496858.0;1490914.214495395;245938.0;245913.2647284097;190299;190096.39940663055
